href,area,price
https://shopeefood.vn/ho-chi-minh/com-chien-nui-xao-bo-cong-quynh,Quận 1,45055.0
https://shopeefood.vn/ho-chi-minh/oc-ut-trang,Quận 1,108421.0
https://shopeefood.vn/ho-chi-minh/anh-vu-banh-canh-cua,Quận 1,54444.0
https://shopeefood.vn/ho-chi-minh/hu-tieu-nam-vang-nhan-quan-a67-nguyen-trai,Quận 1,110000.0
https://shopeefood.vn/ho-chi-minh/7-eleven-cua-hang-tien-loi-ton-that-tung,Quận 1,43111.0
https://shopeefood.vn/ho-chi-minh/mr-steak-take-out-steak-house-nguyen-thi-minh-khai,Quận 1,85941.0
https://shopeefood.vn/ho-chi-minh/trang-banh-canh-cha-ca-gio-heo,Quận 1,35714.0
https://shopeefood.vn/ho-chi-minh/gotcha-bui-vien,Quận 1,29526.0
https://shopeefood.vn/ho-chi-minh/quan-bui-vo-van-kiet,Quận 1,95588.0
https://shopeefood.vn/ho-chi-minh/yen-lan-bun-thit-nuong-banh-hoi,Quận 1,30000.0
https://shopeefood.vn/ho-chi-minh/bun-bo-hue-o-rom,Quận 1,34850.0
https://shopeefood.vn/ho-chi-minh/cau-ba-quan-noodle-more,Quận 1,84166.0
https://shopeefood.vn/ho-chi-minh/mien-pho-ga-43-mac-dinh-chi-tran-cao-van,Quận 1,63210.0
https://shopeefood.vn/ho-chi-minh/an-la-ghien-mi-quang-com-ga-hoi-an-nguyen-thi-minh-khai,Quận 1,57777.0
https://shopeefood.vn/ho-chi-minh/la-chanh-thuan-vi-bac,Quận 1,115529.0
https://shopeefood.vn/ho-chi-minh/bun-rieu-bao-loc,Quận 1,26333.0
https://shopeefood.vn/ho-chi-minh/thanh-thanh-dat-hu-tieu-nam-vang-43-dinh-tien-hoang,Quận 1,53446.0
https://shopeefood.vn/ho-chi-minh/vit-quay-2-chi-em,Quận 1,198600.0
https://shopeefood.vn/ho-chi-minh/gum-fastfood-com-suon-cay-nuong-mon-y,Quận 1,50222.0
https://shopeefood.vn/ho-chi-minh/com-suon-me-kong,Quận 1,45400.0
https://shopeefood.vn/ho-chi-minh/banh-da-do-a-quynh,Quận 1,80000.0
https://shopeefood.vn/ho-chi-minh/bun-bo-o-cuc,Quận 1,38000.0
https://shopeefood.vn/ho-chi-minh/quan-88-mac-dinh-chi,Quận 1,48750.0
https://shopeefood.vn/ho-chi-minh/nha-hang-bap-cai-tim-com-van-phong,Quận 1,36352.0
https://shopeefood.vn/ho-chi-minh/chuoi-nep-nuong,Quận 1,18000.0
https://shopeefood.vn/ho-chi-minh/shilin-ga-ran-dai-loan-com-van-phong-tra-trai-cay-nguyen-thi-minh-khai,Quận 1,175565.0
https://shopeefood.vn/ho-chi-minh/bun-mam-cua-dong-cho-ben-thanh,Quận 1,57000.0
https://shopeefood.vn/ho-chi-minh/hoa-dong-quan-bun-cha,Quận 1,78000.0
https://shopeefood.vn/ho-chi-minh/bun-rieu-banh-canh-cua,Quận 1,45000.0
https://shopeefood.vn/ho-chi-minh/banh-canh-minh-khai,Quận 1,13666.0
https://shopeefood.vn/ho-chi-minh/anh-huy-chao-ech-singapore-nguyen-huy-tu,Quận 1,50000.0
https://shopeefood.vn/ho-chi-minh/abura-soba-kirinji-mi-kho-nhat-ban-truong-dinh,Quận 1,130062.0
https://shopeefood.vn/ho-chi-minh/nha-hang-chay-bo-de-ngoc-xanh,Quận 1,63750.0
https://shopeefood.vn/ho-chi-minh/bun-cha-ca-nha-trang-nguyen-canh-chan,Quận 1,40533.0
https://shopeefood.vn/ho-chi-minh/sinh-to-nhung,Quận 1,27500.0
https://shopeefood.vn/ho-chi-minh/quan-nha-ga-pho-mai-mi-cay-sinh-to,Quận 1,54000.0
https://shopeefood.vn/ho-chi-minh/buono-mi-y-cay,Quận 1,95375.0
https://shopeefood.vn/ho-chi-minh/xoi-deo-ly-tu-trong,Quận 1,35625.0
https://shopeefood.vn/ho-chi-minh/pho-ngoc-hem-30-ho-hao-hon,Quận 1,64687.0
https://shopeefood.vn/ho-chi-minh/banh-canh-cua-linh,Quận 1,57700.0
https://shopeefood.vn/ho-chi-minh/quan-oc-ne,Quận 1,128529.0
